City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
128,Batī,ET,clear sky,60.15,11.18,40.02,Adi 01 Kebele
130,Port Elizabeth,ZA,scattered clouds,62.6,-33.92,25.57,39 On Nile Guest House
131,Baní,DO,overcast clouds,80.01,18.28,-70.33,Hospedaje Henriquez
132,Castro,BR,broken clouds,52.38,-24.79,-50.01,CHACARA BAILLY
134,Fallon,US,clear sky,55.0,39.47,-118.78,Best Western Fallon Inn & Suites
135,Ancud,CL,clear sky,51.8,-41.87,-73.82,Hotel Arena Gruesa
136,Ribeira Grande,PT,broken clouds,69.04,38.52,-28.7,Quinta da Meia Eira
137,Bulungu,CD,overcast clouds,69.17,-4.55,18.6,
139,Bria,CF,broken clouds,68.41,6.54,21.99,
140,Coquimbo,CL,few clouds,53.6,-29.95,-71.34,Hotel San Juan
141,Rio Grande,BR,clear sky,54.0,-32.03,-52.1,Hotel Atlântico Rio Grande
143,Otaki,NZ,broken clouds,62.01,-40.76,175.15,Sundari Retreat
145,Labuan,MY,few clouds,82.4,5.28,115.24,Tiara Labuan Hotel
147,Elda,ES,clear sky,59.0,38.48,-0.79,AC Hotel by Marriott Elda
149,Butaritari,KI,overcast clouds,81.77,3.07,172.79,Isles Sunset Lodge
152,Guéret,FR,clear sky,57.99,46.17,1.87,Hôtel Restaurant Campanile Guéret
155,Tongren,CN,light rain,58.3,27.72,109.19,Fanjing Mountain International Conference Center
158,Tautira,PF,scattered clouds,82.4,-17.73,-149.15,Pension Oaoa
159,Chennai,IN,mist,78.8,13.09,80.28,"Taj Connemara, Chennai"
161,Ortona,IT,overcast clouds,57.0,42.35,14.4,La Casa del Palombaro
162,Kudahuvadhoo,MV,light rain,82.35,2.67,72.89,Kudahuvadhoo Retreat
163,Mayor Pablo Lagerenza,PY,clear sky,69.46,-19.93,-60.77,
164,Luanda,AO,light intensity drizzle,77.0,-8.84,13.23,EPIC SANA Luanda
165,Homa Bay,KE,scattered clouds,65.44,-0.53,34.46,ACK Guest House - Homa Bay
166,Nunkiní,MX,overcast clouds,73.26,20.33,-90.18,
167,Puerto Baquerizo Moreno,EC,broken clouds,68.67,-0.9,-89.6,Hotel los Algarrobos
168,Doctor Arroyo,MX,clear sky,58.64,23.67,-100.18,Hotel Plaza
171,Tadine,NC,clear sky,78.91,-21.55,167.88,
173,George Town,MY,shower rain,82.4,5.41,100.34,Cititel Penang
174,San Marcos de Colón,HN,overcast clouds,64.99,13.43,-86.8,Hotel Colonial
175,Boende,CD,scattered clouds,69.96,-0.22,20.87,
176,Cidreira,BR,scattered clouds,61.7,-30.18,-50.21,Hotel Castelo
177,Lanxi,CN,overcast clouds,60.94,29.22,119.48,Shangri-La Hotel
179,Palmas de Monte Alto,BR,light rain,72.25,-14.27,-43.16,RAVENA AUTO POSTO LTDA
181,Isangel,VU,broken clouds,80.24,-19.55,169.27,Volcano Sea View Tree House
182,Ixtapa,MX,overcast clouds,84.2,20.7,-105.2,Container Inn Puerto Vallarta
183,Gawler,AU,clear sky,75.0,-34.6,138.73,Eagle Foundry Bed & Breakfast
185,Ambilobe,MG,few clouds,68.86,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
186,Richards Bay,ZA,light rain,63.72,-28.78,32.04,BON Hotel Waterfront Richards Bay
187,Harper,LR,broken clouds,77.38,4.38,-7.72,Screensaver
188,Avarua,CK,light rain,77.0,-21.21,-159.78,Paradise Inn
189,Broken Hill,AU,scattered clouds,73.4,-31.95,141.43,Daydream Motel & Cottages
190,Nchelenge,ZM,broken clouds,71.06,-9.35,28.73,Mweru Water Transport
191,Port Alfred,ZA,scattered clouds,61.18,-33.59,26.89,The Halyards Hotel
192,Tomé,CL,overcast clouds,53.6,-36.62,-72.95,Dichato habitaciones
194,Qingyang,CN,broken clouds,62.11,37.5,121.26,YanTai OceanHill Hotel
195,São João da Barra,BR,overcast clouds,70.43,-21.64,-41.05,Pousada Porto De Canoas
196,Chui,UY,clear sky,51.13,-33.7,-53.46,Nuevo Hotel Plaza
197,Leme,BR,broken clouds,64.4,-22.19,-47.39,Habitat Hotel de Leme (centro)
198,Emerald,AU,clear sky,90.0,-23.53,148.17,The Irish Village
199,Takoradze,GH,few clouds,77.7,4.88,-1.76,Raybow International Hotel
201,Koumac,NC,broken clouds,79.86,-20.57,164.28,Le Monitel
203,Faanui,PF,clear sky,79.45,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
206,Cubará,CO,overcast clouds,73.87,7.0,-72.11,Hotel Los Amigos
207,Abu Samrah,SY,overcast clouds,60.35,35.3,37.18,
208,Primalkinskoye,RU,overcast clouds,55.4,43.75,44.01,Hotel Daryal
211,Kavieng,PG,few clouds,85.28,-2.57,150.8,Nusa Island Retreat
218,São Filipe,CV,broken clouds,79.38,14.9,-24.5,Tortuga B&B
219,Port Lincoln,AU,clear sky,62.98,-34.73,135.87,Port Lincoln Hotel
220,Terra Santa,BR,scattered clouds,82.0,-2.1,-56.49,Igreja da paz
221,Hasaki,JP,broken clouds,64.0,35.73,140.83,Inubosaki Kanko Hotel
223,Alekseyevka,RU,overcast clouds,53.62,50.63,38.69,Apartment on Ploshchad Pobedy
224,Lorengau,PG,light rain,84.34,-2.02,147.27,Lorengau Harbourside Hotel
225,Mahébourg,MU,shower rain,68.0,-20.41,57.7,Shandrani Beachcomber Resort & Spa
226,Amboasary,MG,few clouds,69.8,-25.03,46.38,DISCOVERY AMBOASARY
227,Bereda,ES,overcast clouds,63.0,43.27,-7.54,Pazo de Verdes
228,Naze,JP,broken clouds,77.0,28.37,129.48,奄美ポートタワーホテル
230,Verāval,IN,clear sky,80.4,20.9,70.37,Lords Inn Somnath
231,Münsingen,DE,overcast clouds,57.0,48.41,9.5,Hotel Gasthof Herrmann
232,Caravelas,BR,light rain,72.09,-17.71,-39.25,Pousada dos Navegantes
233,Hadejia,NG,broken clouds,75.29,12.45,10.04,Access
234,Arrondissement d'Ajaccio,FR,overcast clouds,55.4,42.0,8.92,Sole E Monte
235,Kaitangata,NZ,overcast clouds,60.01,-46.28,169.85,Kaitangata Motor Camp
236,Vieques,PR,scattered clouds,80.6,18.43,-65.83,Melia Coco Beach
237,Marsala,IT,clear sky,64.99,37.8,12.44,Villa Favorita Hotel e Resort
238,Salalah,OM,clear sky,69.8,17.02,54.09,HAMDAN PLAZA HOTEL
